"","head [cm]","age [years]"
"606",39.3,0.27
"607",41,0.27
"608",41.6,0.27
"609",41.5,0.27
"610",41.2,0.27
"611",39.8,0.27
"612",40.9,0.27
"613",40.8,0.27
"614",42.2,0.27
"615",43,0.27
"618",42.2,0.27
"619",42,0.27
"620",40.2,0.27
"621",39.5,0.27
"622",41.9,0.28
"623",41,0.28
"624",40.4,0.28
"625",40.9,0.28
"626",41,0.28
"627",41,0.28
"628",42.2,0.28
"631",41.2,0.28
"632",40.3,0.28
"633",42.5,0.28
"634",39.7,0.28
"635",41.7,0.28
"636",40,0.28
"637",43.2,0.29
"638",42.1,0.29
"639",42,0.29
"640",41,0.29
"641",44,0.29
"642",42.2,0.29
"644",42.5,0.29
"645",42.3,0.29
"646",41,0.29
"647",42.5,0.29
"648",43,0.29
"649",43,0.3
"650",41.5,0.3
"651",42.7,0.31
"652",40.5,0.31
"653",41.5,0.31
"654",41.8,0.31
"655",41.5,0.32
"656",42.2,0.32
"658",41.8,0.32
"659",41,0.33
"660",41.3,0.33
"661",42,0.33
"662",44,0.33
"663",42,0.33
"664",41,0.33
"665",43.1,0.33
"666",43.6,0.33
"667",44,0.33
"668",39.9,0.34
"669",42.2,0.34
"670",43,0.34
"671",43.8,0.34
"672",41.2,0.34
"673",40.5,0.34
"674",43.2,0.34
"675",43,0.34
"676",42.4,0.34
"677",33.5,0.34
"678",43.5,0.35
"680",43.2,0.35
"681",46,0.35
"682",43.5,0.36
"683",43,0.36
"684",41.5,0.36
"685",43,0.37
"686",44,0.37
"687",43,0.37
"688",43,0.37
"689",42.1,0.37
"690",41.9,0.37
"691",41.8,0.38
"692",43.8,0.38
"693",43,0.38
"696",44.2,0.38
"697",44.3,0.39
"698",42.3,0.4
"699",44.1,0.4
"700",44.7,0.4
"701",42.2,0.4
"702",44.8,0.4
"703",42.4,0.4
"704",41.6,0.4
"705",42.2,0.4
"706",44,0.41
"707",44.4,0.41
"708",44.4,0.41
"709",41.8,0.42
"710",40.2,0.42
"711",41.8,0.42
"712",44.1,0.42
"713",43.8,0.42
"714",42.5,0.43
"715",42.5,0.43
"716",43.3,0.43
"717",44,0.43
"718",43.2,0.43
"719",42.9,0.43
"720",43,0.44
"722",43,0.44
"723",43.6,0.44
"724",45,0.44
"725",43,0.44
"726",42.8,0.44
"727",44.2,0.44
"728",44.5,0.44
"730",43,0.44
"731",44,0.45
"732",42.5,0.45
"733",43.9,0.45
"734",43.4,0.45
"735",44.8,0.45
"736",42.5,0.45
"737",43.1,0.45
"738",42.5,0.46
"739",44.1,0.46
"740",44.3,0.46
"741",44,0.46
"742",44.8,0.46
"743",43.1,0.46
"744",47,0.47
"745",43.4,0.47
"746",44.1,0.47
"747",45.6,0.47
"748",42.1,0.47
"749",42.8,0.47
"750",45.6,0.48
"751",45,0.48
"752",42,0.48
"753",43.4,0.48
"754",44,0.48
"755",44.8,0.48
"756",43.5,0.48
"757",44.3,0.48
"758",44,0.48
"759",43.5,0.48
"760",43.2,0.48
"761",45.2,0.48
"762",44.3,0.49
"763",45,0.49
"764",45,0.49
"765",46.7,0.49
"766",44.5,0.49
"767",44,0.49
"768",42,0.49
"769",42.5,0.49
"770",46,0.5
"771",42.5,0.5
"772",43.5,0.5
"773",40.2,0.5
"774",43.5,0.5
"775",44.7,0.5
"776",44.5,0.5
"777",44.5,0.5
"778",41,0.5
"779",46.5,0.5
"780",45.7,0.5
"781",43.8,0.5
"782",45,0.5
"783",44.6,0.5
"784",44.3,0.5
"785",43,0.5
"786",44,0.5
"787",43.4,0.5
"788",46.5,0.51
"789",42.9,0.51
"790",45.2,0.51
"791",43.6,0.51
"792",43.8,0.51
"793",45.3,0.51
"794",44,0.51
"795",42.5,0.51
"796",44.5,0.51
"797",45,0.51
"798",44.5,0.51
"799",43.5,0.51
"800",43,0.51
"801",44,0.51
"802",45.1,0.51
"803",45,0.51
"804",43.2,0.51
"805",44.6,0.52
"806",44.3,0.52
"807",44.5,0.52
"808",45.5,0.52
"809",42.4,0.52
"810",44.2,0.52
"811",40.3,0.52
"812",45.6,0.52
"813",42.6,0.52
"814",45,0.52
"815",45,0.52
"816",41.6,0.52
"817",45,0.52
"818",43,0.52
"819",45.5,0.52
"820",44.3,0.52
"821",44.7,0.53
"822",43.5,0.53
"823",46.1,0.53
"824",46,0.53
"825",43.5,0.53
"826",44.2,0.53
"827",45,0.53
"828",44.1,0.53
"829",42.9,0.53
"830",45.5,0.53
"831",45,0.53
"832",46.2,0.53
"833",44.3,0.53
"834",44,0.53
"835",46.2,0.53
"836",43.4,0.53
"837",43.4,0.54
"838",45.6,0.54
"839",43.8,0.54
"840",44.3,0.54
"841",46.5,0.54
"842",44.6,0.54
"843",45.5,0.54
"844",45.4,0.54
"845",45.6,0.54
"846",45.2,0.54
"847",45,0.55
"848",44.7,0.55
"849",43.1,0.55
"850",43.4,0.55
"851",44.5,0.56
"852",48.5,0.56
"853",45.2,0.56
"854",45,0.56
"855",44.4,0.56
"856",45.5,0.56
"857",46,0.56
"858",44.6,0.57
"859",43.5,0.57
"860",44.2,0.57
"861",45.2,0.57
"862",44.5,0.57
"863",46,0.57
"864",44.3,0.57
"866",46,0.58
"867",42.2,0.58
"868",43.8,0.58
"869",45.7,0.58
"870",45.5,0.59
"871",44,0.59
"872",46,0.59
"873",45.2,0.59
"874",43,0.6
"875",44.5,0.6
"877",44,0.6
"878",46.5,0.6
"879",43.8,0.61
"880",45.3,0.61
"881",45.5,0.61
"882",45.2,0.62
"883",46.6,0.62
"884",45.2,0.62
"885",45.8,0.62
"886",44.1,0.62
"888",45.8,0.62
"889",44.6,0.62
"890",46.5,0.63
"891",44,0.63
"892",42.9,0.63
"893",44.4,0.64
"894",45.4,0.64
"895",44.6,0.64
"896",42.1,0.64
"897",44.2,0.64
"898",46.3,0.65
"899",43.5,0.65
"900",45,0.65
"902",45,0.65
"903",46.1,0.65
"904",45,0.66
"905",47.3,0.66
"907",44.7,0.66
"908",45.7,0.66
"909",44.8,0.67
"910",44.1,0.67
"911",46.5,0.67
"912",46,0.68
"913",46.8,0.68
"914",47.5,0.68
"915",47,0.68
"916",47.5,0.69
"917",45.4,0.69
"918",46.2,0.69
"920",44.5,0.69
"921",45.8,0.69
"922",48.5,0.7
"923",45.3,0.7
"924",45.5,0.7
"925",43,0.7
"926",44.1,0.7
"927",45.8,0.7
"928",44.1,0.71
"929",46.3,0.71
"930",46,0.71
"931",45.2,0.71
"932",44,0.71
"933",44.8,0.71
"934",45,0.71
"935",42.8,0.72
"936",45.2,0.72
"938",46.4,0.72
"939",44.8,0.72
"940",44.8,0.72
"941",44.5,0.72
"942",44.5,0.73
"943",47,0.73
"944",44.9,0.73
"945",50,0.73
"946",44,0.73
"947",44.8,0.73
"948",46.4,0.73
"949",44.6,0.73
"950",45.2,0.73
"951",47.8,0.73
"952",45.9,0.74
"953",46.1,0.74
"954",48.5,0.74
"955",45.2,0.74
"956",46,0.74
"957",48.4,0.74
"958",47.6,0.74
"959",45.3,0.74
"960",44,0.74
"961",47,0.74
"962",43.5,0.74
"963",45.2,0.74
"964",44.1,0.74
"965",45.8,0.74
"966",45.1,0.74
"967",47.2,0.74
"968",44,0.74
"969",48.7,0.74
"970",46.3,0.74
"971",45.3,0.74
"972",45.9,0.75
"973",49.2,0.75
"974",45.6,0.75
"975",44.2,0.75
"976",46,0.75
"977",46.8,0.75
"978",46.8,0.75
"979",45.1,0.75
"980",44.5,0.75
"981",46.5,0.75
"982",46.6,0.75
"983",47.3,0.75
"984",44.1,0.75
"985",46.2,0.75
"986",44.1,0.75
"987",45.5,0.75
"988",44.5,0.75
"989",46.5,0.75
"990",47.7,0.75
"991",46.5,0.75
"992",45.8,0.75
"993",44.8,0.76
"994",46,0.76
"995",45,0.76
"996",46.5,0.76
"997",46.5,0.76
"998",47.2,0.76
"999",44.2,0.76
"1000",47,0.76
"1001",47.2,0.76
"1002",47.4,0.76
"1003",47,0.76
"1004",46,0.76
"1005",47.2,0.76
"1006",46.3,0.76
"1007",46,0.76
"1008",47.2,0.76
"1009",46.7,0.76
"1010",46.8,0.76
"1011",45.2,0.76
"1012",46.2,0.77
"1013",47.5,0.77
"1014",46.5,0.77
"1015",48,0.77
"1016",46.3,0.77
"1017",46.1,0.77
"1018",46.4,0.77
"1019",45.7,0.77
"1020",46.6,0.77
"1021",46.5,0.77
"1022",45,0.77
"1023",47.5,0.77
"1024",45.5,0.77
"1025",46.5,0.77
"1026",46.2,0.77
"1027",46,0.77
"1028",45.6,0.77
"1029",47,0.77
"1030",46.9,0.78
"1031",45.5,0.78
"1032",46.7,0.78
"1033",45.6,0.78
"1034",46.3,0.78
"1035",47.2,0.78
"1036",45.5,0.78
"1037",48.2,0.78
"1038",46.5,0.78
"1039",47,0.78
"1040",47.3,0.78
"1041",44.9,0.78
"1042",47.5,0.78
"1043",45,0.79
"1044",47,0.79
"1045",45.5,0.79
"1047",47.5,0.79
"1048",48.9,0.79
"1049",48.1,0.79
"1050",45.1,0.79
"1051",46.2,0.79
"1052",45.2,0.8
"1053",47.3,0.8
"1054",47.5,0.8
"1055",45.2,0.8
"1056",47.3,0.8
"1057",44.5,0.8
"1058",46.2,0.8
"1059",44.2,0.8
"1060",45.1,0.8
"1061",45.9,0.8
"1062",45,0.8
"1063",46.4,0.81
"1064",46.3,0.81
"1065",45.8,0.81
"1066",46.5,0.81
"1067",46,0.81
"1068",46,0.81
"1069",45.5,0.81
"1070",48.4,0.81
"1071",45.2,0.81
"1072",43.2,0.82
"1073",47.6,0.82
"1074",46.8,0.82
"1075",44.7,0.83
"1076",45.9,0.83
"1077",44.8,0.83
"1078",48,0.83
"1079",44,0.83
"1080",46.4,0.83
"1081",49,0.83
"1082",46,0.83
"1083",47.6,0.83
"1084",48.4,0.83
"1085",46,0.83
"1086",45.3,0.84
"1087",46.2,0.84
"1088",47.5,0.84
"1089",46.8,0.84
"1090",47,0.84
"1091",42.2,0.84
"1092",46,0.86
"1093",45,0.86
"1094",48,0.86
"1095",49.8,0.86
"1096",47.7,0.86
"1097",45.4,0.86
"1098",47.4,0.86
"1099",46.3,0.87
"1100",45.8,0.87
"1101",46,0.87
"1102",42.3,0.87
"1103",46,0.88
"1104",46.8,0.88
"1105",47.5,0.88
"1106",45.5,0.88
"1107",45.8,0.89
"1108",45.8,0.89
"1109",46,0.89
"1111",46.8,0.9
"1113",45.7,0.9
"1114",47.2,0.9
"1115",46.5,0.9
"1116",47.6,0.91
"1117",48,0.91
"1118",45.4,0.91
"1119",44,0.91
"1120",44.5,0.92
"1121",45.7,0.92
"1122",46.8,0.92
"1123",47.7,0.92
"1124",43.2,0.92
"1125",46.4,0.92
"1126",48.5,0.93
"1127",46.9,0.93
"1128",46.2,0.93
"1129",43,0.93
"1130",45.8,0.93
"1131",44.6,0.93
"1132",46.9,0.93
"1133",49,0.93
"1134",48.7,0.93
"1135",45.9,0.93
"1136",46.5,0.93
"1137",46,0.94
"1138",47,0.94
"1139",46.3,0.94
"1140",47.5,0.94
"1141",47,0.94
"1142",45.6,0.94
"1143",44.5,0.94
"1145",46.5,0.94
"1146",45.8,0.95
"1147",48,0.95
"1148",45,0.95
"1149",47,0.95
"1150",48,0.95
"1151",48.2,0.95
"1152",48,0.95
"1153",47,0.95
"1154",48.2,0.95
"1155",48.4,0.95
"1156",48,0.95
"1157",45.9,0.95
"1158",47.4,0.95
"1159",46.2,0.95
"1160",47,0.95
"1161",45.3,0.95
"1162",45.3,0.95
"1163",44.9,0.95
"1164",47.5,0.95
"1165",47,0.96
"1166",48,0.96
"1167",46.4,0.96
"1168",45.7,0.96
"1169",49.1,0.96
"1170",44.5,0.96
"1171",46.5,0.96
"1172",46,0.96
"1173",48.5,0.97
"1174",48,0.97
"1175",46.4,0.97
"1176",47,0.97
"1177",49,0.97
"1178",46.5,0.97
"1179",47.3,0.97
"1180",49.8,0.97
"1182",46.8,0.97
"1184",48,0.97
"1185",47.2,0.97
"1186",48,0.97
"1187",46.5,0.98
"1188",47,0.98
"1191",48.5,0.98
"1192",47,0.98
"1193",48.1,0.98
"1194",46,0.98
"1195",46.2,0.98
"1196",49.6,0.98
"1197",46,0.98
"1198",46.8,0.98
"1199",48.8,0.98
"1200",46.8,0.99
"1201",48.5,0.99
"1202",47.2,0.99
"1203",47.3,0.99
"1204",47.6,0.99
"1205",46,0.99
"1206",48,0.99
"1209",47.5,0.99
"1210",49,0.99
"1211",48.5,0.99
"1212",47.1,1
"1213",49.5,1
"1215",46,1
"1216",48.5,1
"1217",47.9,1
"1219",48.6,1
"1220",48.7,1
"1221",47.6,1
"1223",46.5,1
"1224",45,1
"1225",47,1
"1226",46,1
"1227",48,1
"1228",47,1
"1229",46.2,1
"1230",46.7,1
"1231",47.9,1.01
"1232",47.5,1.01
"1233",46.8,1.01
"1234",48.2,1.01
"1235",45.9,1.01
"1236",47.7,1.01
"1237",46.8,1.01
"1238",46.3,1.01
"1239",48.7,1.01
"1240",48.6,1.01
"1241",47.3,1.01
"1242",48.8,1.01
"1243",46.7,1.01
"1245",46,1.01
"1246",46,1.02
"1247",51.6,1.02
"1248",46.5,1.02
"1249",48,1.02
"1250",46,1.02
"1251",48.5,1.02
"1252",47.8,1.02
"1253",46.3,1.02
"1254",48.2,1.02
"1255",48,1.02
"1256",49,1.02
"1257",46.5,1.02
"1258",49.2,1.02
"1259",47.5,1.02
"1260",47.8,1.03
"1261",45.2,1.03
"1262",48.2,1.03
"1263",47.3,1.03
"1265",47.4,1.03
"1266",44.2,1.03
"1267",46.1,1.03
"1268",48,1.03
"1269",46,1.03
"1270",45.5,1.03
"1272",48,1.03
"1273",47.5,1.04
"1274",47.8,1.04
"1275",48,1.04
"1276",48.9,1.04
"1277",49.9,1.04
"1278",46.3,1.04
"1279",48.9,1.04
"1280",45.8,1.04
"1281",46,1.04
"1282",47.5,1.04
"1283",48,1.04
"1284",49.2,1.05
"1285",49,1.05
"1286",47,1.05
"1287",48.4,1.05
"1288",48,1.05
"1289",47,1.05
"1290",48.5,1.05
"1291",47.4,1.05
"1292",48.2,1.05
"1293",47.4,1.05
"1294",48.7,1.06
"1295",46.5,1.06
"1296",49.4,1.06
"1297",47.2,1.06
"1298",48.5,1.06
"1301",46.6,1.06
"1302",45.6,1.06
"1303",48.3,1.06
"1304",49.5,1.06
"1305",44.6,1.06
"1306",47.9,1.07
"1307",48.5,1.07
"1308",49.2,1.07
"1309",47.2,1.07
"1310",48.6,1.07
"1311",46.5,1.08
"1312",48.9,1.08
"1313",47.4,1.09
"1314",45.1,1.09
"1315",47.5,1.09
"1316",46.7,1.09
"1317",49.1,1.09
"1318",48.6,1.1
"1319",47.1,1.11
"1320",47,1.11
"1321",47.8,1.11
"1322",47.8,1.11
"1323",45.1,1.11
"1324",46.2,1.12
"1325",45.9,1.12
"1326",47.5,1.13
"1327",47.3,1.13
"1328",48.2,1.14
"1329",46.5,1.14
"1330",48,1.14
"1331",46,1.14
"1332",46.3,1.14
"1333",47.6,1.14
"1334",52.4,1.15
"1335",47.8,1.15
"1336",48.8,1.15
"1337",48.7,1.16
"1338",48,1.16
"1339",48.4,1.16
"1340",48.5,1.16
"1341",45.8,1.16
"1342",49,1.17
"1343",48.5,1.17
"1344",49.8,1.17
"1345",46.3,1.17
"1346",46,1.17
"1347",47.1,1.17
"1348",46.6,1.17
"1349",45.9,1.17
"1350",48,1.17
"1351",50.2,1.17
"1353",46.4,1.17
"1354",48.2,1.17
"1355",48.6,1.18
"1356",50.6,1.18
"1357",48.8,1.18
"1358",46.4,1.18
"1359",48.5,1.18
"1360",48.3,1.18
"1361",47.6,1.18
"1362",46.5,1.18
"1364",47.3,1.18
