"","Age [years]","BMI [kg/m²]"
"115",0.09,14.0603566529492
"116",0.09,15.8267097563106
"117",0.09,14.8039931823716
"118",0.09,14.3428747306864
"119",0.09,15.5702479338843
"120",0.09,13.8195989552383
"121",0.09,11.1735537190083
"122",0.09,15.5469678953627
"124",0.09,14.747889189587
"125",0.09,13.7517146776406
"126",0.09,15.1569422188708
"127",0.09,17.2512755102041
"128",0.09,14.2196250304358
"129",0.09,14.9532710280374
"130",0.09,14.2158787249402
"131",0.09,15.165714719925
"132",0.09,15.0947953145755
"133",0.09,16.3396467913019
"134",0.09,15.2955544114654
"135",0.09,17.730440516265
"136",0.09,13.8073979591837
"137",0.09,14.917695473251
"138",0.09,15.3061224489796
"139",0.09,14.4877126654064
"140",0.09,14.4990828893353
"141",0.09,14.0759593417662
"142",0.09,15.5063043308012
"143",0.09,12.5550251100502
"144",0.1,14.5900316889313
"145",0.1,16.294372510582
"146",0.1,15.3719008264463
"147",0.1,15.4669212457846
"148",0.1,16.099173553719
"149",0.1,16.0362811791383
"150",0.1,12.4081632653061
"151",0.1,17.0438957475995
"152",0.1,16.0758655995205
"153",0.1,13.0578512396694
"154",0.1,14.5008295234356
"155",0.1,13.7698846898409
"156",0.1,15.2104591836735
"157",0.1,13.2231404958678
"158",0.1,16.6942148760331
"159",0.1,14.173259132792
"160",0.1,14.7119341563786
"161",0.1,15.0482535315337
"162",0.1,13.5279458882164
"163",0.1,14.8374691516904
"164",0.1,13.5332564398308
"165",0.1,13.7362174901103
"166",0.1,16.2729874272847
"167",0.1,16.2510759111522
"168",0.1,15.0018903591682
"169",0.1,15.1369203247557
"170",0.1,14.7715282850418
"171",0.1,14.2572909019332
"172",0.1,15.9438775510204
"173",0.1,13.789141051422
"174",0.1,15.1095732410611
"175",0.1,15.5324875048058
"176",0.1,15.0061268734094
"177",0.1,14.5061728395062
"178",0.11,15.1785714285714
"179",0.11,13.7683678632526
"180",0.11,16.9586776859504
"181",0.11,12.0661157024793
"182",0.11,15.0492382796061
"183",0.11,13.264876693881
"184",0.11,16.4090368608799
"185",0.11,13.0334486735871
"186",0.11,14.2075582863395
"187",0.11,13.7618147448015
"189",0.11,13.8465958058029
"190",0.11,14.9901380670611
"191",0.11,15.625
"192",0.11,13.4563629373318
"193",0.11,13.7945107642077
"194",0.11,13.9427516158818
"195",0.11,16.3947731515299
"196",0.11,14.8174415217639
"197",0.11,15.4577883472057
"198",0.12,16.1895967990151
"199",0.12,13.7920958433779
"200",0.12,15.2585017449882
"201",0.12,14.7643836616335
"202",0.12,16.0051943835728
"203",0.12,16.0644764701865
"204",0.12,15.9077996915835
"205",0.12,14.1975308641975
"206",0.12,19.7685950413223
"207",0.12,14.0998959417274
"208",0.12,16.3923590455417
"209",0.12,16.9576444290284
"210",0.13,16.126735493058
"211",0.13,12.4599501601994
"212",0.13,16.9444444444444
"213",0.13,13.4876033057851
"214",0.13,14.9073199715647
"215",0.13,15.2036644066042
"216",0.13,15.7844387755102
"217",0.13,14.8632580261593
"218",0.13,16.8278598504977
"219",0.13,15.8442330558859
"220",0.13,12.531887755102
"221",0.13,16.3746049985636
"222",0.13,13.6844541877153
"223",0.13,14.0532544378698
"224",0.13,13.9479626128964
"225",0.13,13.3761453520244
"226",0.13,14.4641683103222
"227",0.13,13.9668367346939
"229",0.14,14.4275092491709
"230",0.14,14.0642722117202
"231",0.14,15.4201292705448
"232",0.14,14.6389413988658
"233",0.14,16.0723112774522
"234",0.14,15.2794292508918
"235",0.14,15.1404958677686
"237",0.14,16.8975069252078
"238",0.14,15.5172413793103
"239",0.14,15.0487902602463
"240",0.14,15.5027426757917
"241",0.14,15.4553289284688
"242",0.14,15.1577503429355
"243",0.14,13.4087791495199
"244",0.14,15.4201292705448
"245",0.14,16.5178571428571
"246",0.14,17.5323252246329
"247",0.14,16.087331226659
"248",0.15,15.0763411090705
"249",0.15,15.3522430771821
"250",0.15,16.7258979206049
"251",0.15,15.9125884887658
"252",0.15,15.4974489795918
"253",0.15,15.2199762187872
"254",0.15,13.7013232514178
"255",0.15,14.4768133174792
"256",0.15,16.1417628487138
"257",0.15,15.0730760104141
"258",0.15,16.7729591836735
"259",0.15,16.3547772049997
"260",0.15,18.1034482758621
"261",0.15,14.2155009451796
"262",0.15,15.6975425330813
"263",0.15,14.0037807183365
"264",0.15,17.3900118906064
"265",0.15,15.1207976910879
"266",0.15,15.0947953145755
"267",0.15,15.8347107438017
"268",0.15,16.3167989770366
"269",0.15,13.8231292517007
"270",0.15,14.9716446124764
"271",0.15,12.8172568689386
"272",0.15,14.8950538618218
"273",0.15,15.283203125
"274",0.15,16.6765755053508
"275",0.16,14.2318244170096
"276",0.16,14.3706316545823
"277",0.16,14.3850568896471
"278",0.16,14.25
"279",0.16,15.6956004756243
"280",0.16,14.9716549416024
"281",0.16,14.6509623671359
"282",0.16,14.8807813846596
"284",0.16,15.7093094733966
"285",0.16,16.3327032136106
"286",0.16,14.3611111111111
"287",0.16,14.0945179584121
"288",0.16,15.6734693877551
"289",0.16,13.2993274580608
"290",0.16,14.5767389010632
"291",0.16,13.0217986198183
"292",0.16,16.2777777777778
"293",0.16,15.8000574547544
"294",0.16,16.1784466541252
"295",0.16,14.0975436098256
"296",0.16,14.9752066115702
"297",0.16,13.4963458780138
"298",0.16,16.7152334304669
"299",0.16,15.5231202656705
"300",0.16,15.576694411415
"301",0.16,14.5049112827488
"302",0.16,15.3504564019627
"303",0.16,16.8036010204052
"304",0.16,14.1303954002358
"305",0.16,14.25
"306",0.16,15.2036644066042
"307",0.16,16.0719595200913
"308",0.16,16.4219446270728
"309",0.16,15.0891632373114
"310",0.16,12.3305785123967
"311",0.16,18.7943170643341
"312",0.16,15.4280618311534
"313",0.16,15.655247874758
"314",0.16,15.5376301981361
"315",0.17,15.2239024033896
"316",0.17,16.0586038494685
"317",0.17,14.593507612755
"318",0.17,15.1119271237907
"319",0.17,15.812647788559
"320",0.17,16.7657550535077
"321",0.17,17.0066072967538
"322",0.17,14.9323621227888
"323",0.17,16.3529942620511
"324",0.17,16.7743921206525
"325",0.17,15.3888888888889
"326",0.17,14.9584487534626
"327",0.17,15.720209122048
"328",0.17,13.7235326958354
"329",0.17,17.7930926462526
"330",0.17,14.8272546791694
"331",0.17,16.6372431325471
"332",0.17,17.0283553875236
"333",0.17,13.1584
"334",0.17,16.6937363180566
"335",0.17,15.7894736842105
"336",0.17,15.2542372881356
"337",0.17,14.8440353568559
"338",0.17,13.6056280308722
"339",0.17,16.7743921206525
"340",0.17,14.8632580261593
"341",0.17,16.7410714285714
"342",0.17,14.744721417979
"343",0.17,13.9400109640536
"345",0.17,14.1388888888889
"346",0.17,15.2255099109451
"347",0.17,14.5719099648828
"348",0.17,15.0228433216877
"349",0.17,14.0945179584121
"350",0.17,15.8202523853493
"351",0.17,15.4577883472057
"352",0.17,16.2627551020408
"353",0.17,16.6611570247934
"354",0.17,13.2877526753864
"355",0.17,17.1819262782402
"356",0.17,15.4006243496358
"357",0.17,16.91728770275
"358",0.17,14.2532696374031
"359",0.17,16.7474899255515
"360",0.17,14.2362827483935
"361",0.17,17.676388224848
"362",0.18,14.1581632653061
"363",0.18,15.0555555555556
"364",0.18,16.8771835528084
"365",0.18,17.661444907132
"367",0.18,16.5562461580493
"368",0.18,15.7220142439737
"369",0.18,18.3386647139682
"370",0.18,17.3226084458489
"371",0.18,17.8571428571429
"372",0.18,14.2243373653249
"373",0.18,16.1675188702216
"374",0.18,15.3812543545778
"375",0.18,15.4624
"376",0.18,13.85053692746
"377",0.18,17.9252889008331
"378",0.18,16.8629704108015
"379",0.18,14.4047299113142
"380",0.18,17.6258738789634
"381",0.18,15.4280618311534
"382",0.18,15.1978338719539
"383",0.18,16.4677635760186
"384",0.18,16.3595085470085
"385",0.19,15.6678312281645
"386",0.19,15.4974489795918
"387",0.19,16.3333333333333
"388",0.19,15.1176871753781
"389",0.19,14.2487790864694
"390",0.19,16.4524521698497
"391",0.19,14.6687121046095
"392",0.19,15.1431209602955
"393",0.19,15.2777777777778
"394",0.19,15.0092210906168
"395",0.19,15.5356260151119
"396",0.19,15.6068052930057
"397",0.19,16.8345830434521
"398",0.19,16.9027102101914
"399",0.19,17.6199868507561
"400",0.19,17.020621729763
"401",0.19,16.7695473251029
"402",0.19,17.6027949475947
"403",0.19,14.7084171215168
"404",0.19,15.2531229454306
"405",0.19,16.7169523378119
"406",0.19,14.6737229453233
"407",0.19,15.3522430771821
"408",0.19,14.9422198333781
"409",0.19,20.0653983353151
"410",0.19,15.8464
"411",0.19,16.4166666666667
"414",0.19,14.764295448986
"415",0.19,16.3856692732226
"416",0.19,14.5578701521769
"417",0.19,16.2337233128429
"418",0.19,12.7872103187228
"419",0.19,15.3846591345347
"420",0.19,18.3055555555556
"421",0.19,14.3888888888889
"423",0.19,16.1944444444444
"424",0.19,16.3923590455417
"426",0.19,14.4047299113142
"427",0.19,15.9693304250116
"428",0.2,17.4949727089917
"429",0.2,15.8832702160838
"430",0.2,16.1570510557164
"431",0.2,13.525564803805
"432",0.2,14.2857142857143
"433",0.2,18.3471074380165
"434",0.2,15.6678312281645
"435",0.2,15.4722222222222
"436",0.2,14.8012146034885
"437",0.2,15.9291313818449
"438",0.2,13.3055555555556
"439",0.2,17.4363120824842
"440",0.2,17.6490676866334
"441",0.2,17.5017379581158
"442",0.2,17.58629377677
"443",0.2,15.2445369406868
"444",0.2,15.1002846588502
"445",0.2,16.8888888888889
"446",0.21,14.5518299364453
"447",0.21,17.0884319872628
"448",0.21,18.2746573501747
"449",0.21,16.0745779793399
"450",0.21,18.7574316290131
"451",0.21,14.7346914247942
"452",0.21,16.9040580489116
"453",0.22,17.9936903876918
"454",0.22,14.4584289168578
"456",0.22,15.3055555555556
"457",0.22,14.9063475546306
"458",0.22,16.0712981225802
"459",0.22,19.8458049886621
"460",0.22,17.4146734748723
"461",0.22,15.8965331907669
"462",0.22,15.9993361701686
"463",0.22,16.1536
"464",0.22,17.8446654125235
"465",0.22,15.2255099109451
"466",0.23,14.508875739645
"467",0.23,15.2199762187872
"468",0.23,15.7206516180875
"469",0.23,14.4049058371184
"470",0.23,14.0822359580758
"471",0.23,14.1651218567045
"472",0.23,15.3876660717827
"473",0.23,14.7392290249433
"474",0.24,16.6666666666667
"475",0.24,16.3906955310481
"476",0.24,19.1715998466272
"477",0.24,15.7093094733966
"478",0.24,16.6084385917764
"479",0.24,14.4398530762167
"480",0.24,16.1944444444444
"481",0.24,16.8047337278107
"482",0.24,15.8801020408163
"483",0.24,16.0737048559088
"484",0.24,16.7136571404161
"485",0.24,17.8944
"486",0.24,14.917695473251
"487",0.24,15.2777777777778
"488",0.24,16.2072840240598
"489",0.24,14.2848
"490",0.24,15.4361040912506
"491",0.24,16.6233090530697
"492",0.24,14.3349612180408
"493",0.25,17.2248364278496
"494",0.25,16.9762022456041
"495",0.25,16.1725362922679
"496",0.25,16.7548500881834
"497",0.25,16.1810613943809
"498",0.25,18.698224852071
"499",0.25,14.8623727887439
"500",0.25,16.4608
"501",0.25,14.8058221245873
"502",0.25,14.9166666666667
"503",0.25,18.1554103122731
"504",0.25,16.993374769483
"505",0.25,17.5305969193367
"506",0.25,14.4116906021668
"507",0.25,14.9722222222222
"508",0.25,14.9843912591051
"509",0.25,16.1249685059209
"510",0.25,17.6899063475546
"511",0.25,16.689004137288
"512",0.25,16.0473372781065
"513",0.25,15.8900125586622
"514",0.25,14.1954414356674
"515",0.25,17.6339285714286
"516",0.25,15.3814630148214
"517",0.25,17.4684224670787
"518",0.25,15.1944444444444
"519",0.25,15.8976
"520",0.25,18.0555555555556
"521",0.25,16.6144
"522",0.25,16.8905352157924
"523",0.25,17.2607421875
"524",0.25,18.0250342255235
"525",0.25,17.6926601080247
"526",0.25,16.823434560602
"527",0.25,14.7625302148983
"528",0.25,15.6733572828867
"529",0.25,16.1796744841728
"530",0.25,15.7952
"531",0.25,14.9153453372749
"532",0.25,15.6634228774547
"533",0.25,17.2304215803969
"534",0.25,16.1246976619188
"535",0.25,18.1153943058705
"536",0.25,13.5275754422477
"537",0.25,17.6638917793965
"538",0.25,14.7809728567589
"539",0.25,14.8362732219929
"540",0.25,17.1142578125
"541",0.25,15.3418481938951
"542",0.26,14.8501543737489
"543",0.26,18.2366334963738
"544",0.26,15.760896689949
"545",0.26,17.8199791883455
"546",0.26,16.823434560602
"547",0.26,16.8055555555556
"548",0.26,18.1239108226669
"549",0.26,16.988033976068
"550",0.26,14.268727705113
"551",0.26,17.2635445362718
"552",0.26,17.9833381212295
"553",0.26,18.59410430839
"554",0.26,16.3923229287617
"555",0.26,15.9444444444444
"556",0.26,13.6791185165278
"557",0.26,17.1864671594255
"558",0.26,15.0765923138941
"559",0.26,16.1737586230449
"560",0.26,17.22655200215
"561",0.26,16.5009406073636
"562",0.26,14.8809073724008
"563",0.26,16.2048
"564",0.26,14.345385180054
"565",0.26,18.0963617512218
"566",0.26,16.6026052951561
"567",0.26,20.4214360041623
"568",0.26,17.5598335067638
"569",0.26,16.4524521698497
"570",0.26,15
"571",0.26,14.6551724137931
"572",0.26,16.4352
"573",0.26,15.8730158730159
"574",0.26,15.1303413061005
"575",0.26,16.4219446270728
"576",0.26,14.6888384983623
"577",0.26,16.6621875839828
"578",0.26,14.9117588736863
"579",0.26,17.0115560333244
"580",0.26,14.4047549676592
"581",0.26,16.5664331328663
"582",0.26,16.5028974552784
"583",0.26,17.8191845637838
"584",0.26,17.2180249035977
"585",0.26,15.7277882797732
"586",0.27,15.4547882616216
"587",0.27,15.2369430241052
"588",0.27,16.5388267952371
"589",0.27,15.5454774502394
"590",0.27,19.5920391840784
"591",0.27,16.5289256198347
"592",0.27,16.5278151034668
"593",0.27,16.5861191340902
"594",0.27,14.1232963773745
"595",0.27,18.2043976915772
"596",0.27,16.896
"597",0.27,17.0353346739443
"598",0.27,16.0555555555556
"599",0.27,15.6203657933762
"600",0.27,15.6462585034014
"601",0.27,17.3752804643266
"602",0.27,16.50390625
"603",0.27,13.96484375
"604",0.27,14.2313390033769
"605",0.27,17.9083398065108
"606",0.27,15.966796875
"607",0.27,16.3130411791923
"608",0.27,17.3758623044874
"609",0.27,16.2072840240598
"610",0.27,14.3798828125
"611",0.27,14.8347218489653
"612",0.27,15.8708895852019
"613",0.27,16.128
"614",0.27,15.6087408949011
"615",0.27,17.6804733727811
"616",0.27,15.9693304250116
"617",0.27,15.4840563056593
"618",0.27,18.2373046875
"619",0.27,16.8259119043327
"620",0.27,15.2237770440416
"621",0.27,15.4729109274564
"622",0.28,16.7017864632649
"623",0.28,15.4698916603679
"624",0.28,13.5858399079553
"625",0.28,16.455078125
"626",0.28,15.7483930211203
"627",0.28,14.9088933763182
"628",0.28,16.2851196670135
"629",0.28,16.2257495590829
"630",0.28,17.5524274633726
"631",0.28,14.2104284208568
"632",0.28,17.6736732962579
"633",0.28,14.9112426035503
"634",0.28,15.0364203954214
"635",0.28,13.7054950177729
"636",0.28,16.6493236212279
"637",0.29,16.8014020012437
"638",0.29,16.1769124451656
"639",0.29,17.6328352656705
"640",0.29,18.3888888888889
"641",0.29,16.4021164021164
"642",0.29,17.2112344224688
"643",0.29,16.7207578614973
"644",0.29,17.5250155463848
"645",0.29,15.4082840236686
"646",0.29,15.0269836208831
"647",0.29,15.8688865764828
"648",0.29,17.2912948641682
"649",0.3,15.8809548237064
"650",0.3,16.3013353489544
"651",0.31,19.0312213039486
"652",0.31,16.3495838287753
"653",0.31,15.6891622831601
"654",0.31,18.59410430839
"655",0.32,15.9912109375
"656",0.32,14.8585431053687
"657",0.32,15.6213017751479
"658",0.32,16.7375085531721
"659",0.33,17.8251228129741
"660",0.33,16.6065252406698
"661",0.33,17.3257023933403
"662",0.33,16.1097393689986
"663",0.33,15.3041901017445
"664",0.33,16.5712799167534
"665",0.33,19.6972701434331
"666",0.33,16.2586918423879
"667",0.33,16.189349112426
"668",0.34,14.7654970603238
"669",0.34,15.2024304048608
"670",0.34,15.9365594564037
"671",0.34,19.5717993079585
"672",0.34,18.4732395672573
"673",0.34,15.4141053605658
"674",0.34,19.4064379668187
"675",0.34,15.5671141249619
"676",0.34,15.6388888888889
"677",0.34,14.7999340068516
"678",0.35,17.0096021947874
"679",0.35,17.4297606659729
"680",0.35,16.0468319559229
"681",0.35,17.5995092721625
"682",0.36,18.3162069587164
"683",0.36,17.7514792899408
"684",0.36,16.7928828030929
"685",0.37,17.0973936899863
"686",0.37,15.8088235294118
"687",0.37,17.5229853975122
"688",0.37,16.1586164730544
"689",0.37,14.404296875
"690",0.37,15.0333398797333
"691",0.38,16.7474899255515
"692",0.38,16.6390532544379
"693",0.38,17.333984375
"694",0.38,16.0731593693493
"695",0.38,16.2474452293019
"696",0.38,16.6251222597802
"697",0.39,17.3225582442404
"698",0.4,17.4046639231824
"699",0.4,17.485512723608
"700",0.4,17.5710594315245
"701",0.4,17.3607619966887
"702",0.4,15.1384083044983
"703",0.4,15.6933687602465
"704",0.4,16.6038733558067
"705",0.4,16.0771287285325
"706",0.41,19.4091796875
"707",0.41,16.8120713305898
"708",0.41,17.6078971533517
"709",0.42,16.064453125
"710",0.42,15.5279127534472
"711",0.42,16.7482219795151
"712",0.42,15.3546712802768
"713",0.42,16.4308771112707
"714",0.43,15.3345799355032
"715",0.43,17.7988165680473
"716",0.43,15.5491200712854
"717",0.43,18.598615916955
"718",0.43,16.2360848561227
"719",0.43,16.7651711454664
"720",0.44,17.653810835629
"721",0.44,17.6876809979951
"722",0.44,17.0416573847182
"723",0.44,17.0416573847182
"724",0.44,16.5165965155309
"725",0.44,17.8461538461538
"726",0.44,18.0409067070684
"727",0.44,17.4485596707819
"728",0.44,17.3179924618131
"729",0.44,17.9215219976219
"730",0.44,14.4927536231884
"731",0.45,16.7462277091907
"732",0.45,16.2851196670135
"733",0.45,16.7584940312213
"734",0.45,17.1392564587272
"735",0.45,18.8532235939643
"736",0.45,17.9998869353836
"737",0.45,14.3100137174211
"738",0.46,17.419889880647
"739",0.46,17.2762631535185
"740",0.46,18.3263900016023
"741",0.46,18.7932525951557
"742",0.46,15.5271466280213
"743",0.46,16.6190781422994
"744",0.47,18.8305803495092
"745",0.47,16.7057268193017
"746",0.47,15.9246898666649
"747",0.47,16.9410831184289
"748",0.47,15.7498721601286
"749",0.47,14.9922227844306
"750",0.48,15.314660699987
"751",0.48,19.734693877551
"752",0.48,16.3680327360655
"753",0.48,17.1405958505286
"754",0.48,15.837009031716
"755",0.48,18.9849108367627
"756",0.48,18.7786960514233
"757",0.48,18.1583049886621
"758",0.48,16.8962350780533
"759",0.48,16.0238751147842
"760",0.48,18.4877864151163
"761",0.48,15.4681128487073
"762",0.49,17.1946740128558
"763",0.49,17.3889438577097
"764",0.49,17.5621301775148
"765",0.49,18.2524679689141
"766",0.49,16.4253124380083
"767",0.49,19.4852941176471
"768",0.49,17.3517169614984
"769",0.49,16.3072
"770",0.5,18.598615916955
"771",0.5,21.19140625
"772",0.5,16.6038484427693
"773",0.5,16.0300925925926
"774",0.5,17.6804733727811
"775",0.5,17.4924554183813
"776",0.5,15.5639571518589
"777",0.5,19.0507544581619
"778",0.5,14.9005190311419
"779",0.5,17.7221380018583
"780",0.5,16.2366078165082
"781",0.5,17.6734693877551
"782",0.5,17.1833756016769
"783",0.5,15.7941635108042
"784",0.5,16.0861239066301
"785",0.5,16.7510256273643
"786",0.5,17.6938775510204
"787",0.5,15.9450771177456
"788",0.51,18.4487204919659
"789",0.51,16.5538131004059
"790",0.51,17.5383322831338
"791",0.51,18.2825788751715
"792",0.51,15.9619067336059
"793",0.51,17.7630557424564
"794",0.51,18.1508916323731
"795",0.51,15.7693324241906
"796",0.51,17.3061224489796
"797",0.51,16.9753086419753
"798",0.51,17.1833756016769
"799",0.51,17.997256515775
"800",0.51,15.2909052720017
"801",0.51,17.3282923755514
"802",0.51,17.3580788380222
"803",0.51,19.2690311418685
"804",0.51,14.9821514198945
"805",0.52,17.3010380622837
"806",0.52,17.2488970965425
"807",0.52,19.7530864197531
"808",0.52,20.2603550295858
"809",0.52,15.3810835629017
"810",0.52,18.3313515655965
"811",0.52,16.943359375
"812",0.52,16.9744090771012
"813",0.52,15.8330907407834
"814",0.52,17.1989684586392
"815",0.52,16.4185493460166
"816",0.52,15.6059651333753
"817",0.52,17.9930795847751
"818",0.52,16.9899322143037
"819",0.52,18.8312757201646
"820",0.52,19.6365492910115
"821",0.53,14.4602111678005
"822",0.53,17.4563481231674
"823",0.53,18.2019626464071
"824",0.53,15.9591836734694
"825",0.53,17.3051308007885
"826",0.53,16.7595753110903
"827",0.53,16.9333910034602
"828",0.53,17.7551903114187
"829",0.53,17.378763295475
"830",0.53,18.6240231211953
"831",0.53,18.0836305984939
"832",0.53,16.7440950657734
"833",0.53,17.1161210122249
"834",0.53,17.7755102040816
"835",0.53,19.1824417009602
"836",0.53,17.5619834710744
"837",0.54,17.0816326530612
"838",0.54,17.2644241479171
"839",0.54,14.5627225959636
"840",0.54,17.3469387755102
"841",0.54,21.6262975778547
"842",0.54,16.5752727683871
"843",0.54,16.9807577861535
"844",0.54,17.4925635478637
"845",0.54,20.9819725489241
"846",0.54,17.3456185403935
"847",0.55,17.0612483340136
"848",0.55,17.0452970685785
"849",0.55,18.2701844872049
"850",0.55,16.0614836266429
"851",0.56,17.3018450118936
"852",0.56,17.3015575154813
"853",0.56,17.5504365618737
"854",0.56,15.9278235687235
"855",0.56,17.2232724217601
"856",0.56,18.3427358832359
"857",0.56,19.0091949709139
"858",0.57,17.9930795847751
"859",0.57,16.0170737411875
"860",0.57,14.517896274653
"861",0.57,18.4255473319186
"862",0.57,17.7025771431366
"863",0.57,17.2279445783719
"864",0.57,18.2069641637926
"865",0.58,19.6969696969697
"866",0.58,15.5939200600488
"867",0.58,15.0259909031839
"868",0.58,16.9609204522912
"869",0.58,16.8855374303204
"870",0.59,17.9498269896194
"871",0.59,17.560553633218
"872",0.59,18.7314521402344
"873",0.59,17.8947620415589
"874",0.6,16.7404852771262
"875",0.6,16.9609204522912
"876",0.6,17.4871909111161
"877",0.6,17.7116819075559
"878",0.6,19.3061224489796
"879",0.61,18.8119309893869
"880",0.61,16.1728670082424
"881",0.61,18.1150043993582
"882",0.62,17.9739923180156
"883",0.62,17.9825492750546
"884",0.62,18.4416967975207
"885",0.62,17.9064716711241
"886",0.62,16.7206515051802
"887",0.62,16.6803840877915
"888",0.62,18.6085304178658
"889",0.62,15.3657626938036
"890",0.63,18.8367346938776
"891",0.63,17.7921079889071
"892",0.63,17.589278755311
"893",0.64,18.5510204081633
"894",0.64,16.9609204522912
"895",0.64,18.672547784079
"896",0.64,16.7948958528805
"897",0.64,17.341646757182
"898",0.65,17.0204081632653
"899",0.65,16.2857142857143
"900",0.65,18.1771129858703
"901",0.65,17.4171791311248
"902",0.65,15.7905177544138
"903",0.65,17.7469135802469
"904",0.66,17.9554815123328
"905",0.66,18.5120347569739
"906",0.66,17.7063642091997
"907",0.66,17.5821833875007
"908",0.66,16.3975655148131
"909",0.67,16.8617337829796
"910",0.67,16.5680473372781
"911",0.67,17.853600476096
"912",0.68,19.396535723036
"913",0.68,17.4284059933711
"914",0.68,16.9777777777778
"915",0.68,19.579475308642
"916",0.69,16.5123456790123
"917",0.69,17.9924618131323
"918",0.69,19.0442846947432
"919",0.69,14.5243009945581
"920",0.69,16.700521865504
"921",0.69,17.6047482521
"922",0.7,19.4485025566107
"923",0.7,16.087962962963
"924",0.7,16.8078115599982
"925",0.7,19.3288241415193
"926",0.7,16.5657439446367
"927",0.7,17.6487289078506
"928",0.71,17.9208106586602
"929",0.71,17.4516794895853
"930",0.71,19.6277612300064
"931",0.71,16.2355127390092
"932",0.71,19.0779320987654
"933",0.71,18.0084181362886
"934",0.71,18.8388954985228
"935",0.72,14.6382397464649
"936",0.72,17.8655692729767
"937",0.72,15.1313335819703
"938",0.72,17.9657946614098
"939",0.72,17.3113599687026
"940",0.72,17.643352236925
"941",0.72,13.064095050349
"942",0.73,18.4732461355529
"943",0.73,16
"944",0.73,17.2773407950882
"945",0.73,20.9487534626039
"946",0.73,18.7756406841068
"947",0.73,20.3611488355717
"948",0.73,17.1480521444017
"949",0.73,16.9591836734694
"950",0.73,17.9018594490916
"951",0.73,16.0195026971815
"952",0.74,16.1590834654619
"953",0.74,18.0690569372554
"954",0.74,16.5758299175713
"955",0.74,16.7441115205896
"956",0.74,15.9837369356228
"957",0.74,20.7180730657377
"958",0.74,16.3528619918043
"959",0.74,16.3552611148491
"960",0.74,17.2857142857143
"961",0.74,17.8133333333333
"962",0.74,16.5292938293607
